PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
"3189","Verdes by Haven 2","1658","AURORA SPV 1 L.L.C","2026-01-01 00:00:00","2028-06-30 00:00:00","2024-09-10 15:28:19","Normal","63000000","4031225788862016","ACTIVE","2.52","2025-10-23 10:44:32","2028-07-04 00:00:00","the project contain\nBuilding number 7 - G +4 + R, with total number of 59 residential units\n\nResidential units 59\nCommercial units 0","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","59",""
"3403","INTERSTELLAR TOWER","1742","BOUJEE REAL ESTATE DEVELOPMENT L.L.C","2026-02-28 00:00:00","2028-09-30 00:00:00","2025-12-22 15:16:56","Normal","82000000","01434279264","ACTIVE","0","2025-12-18 12:39:16","","G+5P+24+R RESIDENTIAL, COMMERCIAL AND RETAIL BUILDING","Al Barsha South Fifth","Trakhees","0","0","0","341",""
"3420","Mayfair Nexus by Seven Mayfair","1925","SEVEN MAYFAIR REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2028-12-31 00:00:00","2025-09-10 16:23:15","Normal","220000000","13713344920002","ACTIVE","0.64","2026-03-12 16:25:13","","Project consists of 9 connected buildings; each building consists of a Basement + Retail on Ground Floor + 4 Residential Floors + Roof.The project designed to have a concrete structure and block with internal and external finishes.","Wadi Al Safa 7","Dubai Development Authority (DDA)","0","0","0","473",""
"3497","A Y A by Palace Group","2096","P G S P V TEN REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2028-06-30 00:00:00","","Normal","40000000","","PENDING","0","2025-12-08 12:43:06","","B1+G+2P+8+R Residential Building","Al Satwa","","1","0","0","0",""
"3592","Symphony by Chaimaa","1166","DEVAL REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2027-08-31 00:00:00","2026-02-17 11:52:25","Normal","40742100","10489852820012","ACTIVE","0","2026-01-06 16:27:38","","PROPOSED RESIDENTIAL WITH RETAILB2 LOW LEVEL+B2 HIGH LEVEL\n+B1+G+8+TECHNICAL+H.CLUB FLOOR\n","Wadi Al Safa 3","","0","0","0","71",""
"3679","Confident Preston","2295","CASA PRESTON REAL ESTATE L.L.C","2026-01-14 00:00:00","2028-04-14 00:00:00","","Normal","23482480","","PENDING","0","2025-05-08 18:39:04","","The building consists of G+9 floors and includes comprehensive residential services, in addition to rooftop facilities.","Wadi Al Safa 2","","0","0","0","99",""
"3691","Trump Tower","2305","DAR GLOBAL LUXURY PROPERTY DEVELOPMENT L.L.C S.O.C","2026-01-15 00:00:00","2031-12-31 00:00:00","2025-04-29 10:33:51","Normal","300000000","0205879614802","ACTIVE","0.01","2025-08-19 11:17:16","","The project is located on Sheikh Zayed Road and will include branded residential apartments, a pool and gymnasium, backside multistorey parking on a different plot, and various amenities such as SPA, and F&Bs. \nThe project is described as G+79 and will consist of a total of 572 units.","Trade Center First","Dubai Municipality","0","0","0","574",""
"3732","Waada - Cascada 2","2254","BT PROPERTIES DWC LLC","2026-03-18 00:00:00","2029-03-17 00:00:00","2025-12-10 12:07:11","Normal","172786300","1001468010000005","ACTIVE","0","2025-05-02 15:09:25","","G+16 Floor","Madinat Al Mataar","Dubai South","0","0","0","249",""
"3749","Olbia","1162","NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C","2026-01-30 00:00:00","2028-05-31 00:00:00","2025-05-28 11:08:31","Normal","127718022","4031224702173094","ACTIVE","0","2025-05-12 11:36:53","2028-05-31 00:00:00","G+2P+10+Parking in ground floor & Podium Floors","Al Yelayiss 2","Dubai Development Authority (DDA)","0","0","0","156",""
"3805","The Weave","1955","THE WEAVE REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-09-01 00:00:00","2025-07-15 11:47:26","Normal","65844240","4031226874860002","ACTIVE","0","2025-06-09 19:08:03","","G+5P+13Floors+Amenities","Al Barsha South Fourth","Trakhees","0","0","0","130",""
