DEVELOPER_EN                                                         , sales_count, sales_value    , median_price_per_sqm, avg_price_per_sqm , rent_count, annual_rent_value, median_rent_per_sqm, avg_rent_per_sqm   , gross_rental_yield , liquidity_score
                                                                     ,       61878, 247847315831.91,   16929.088000431195, 18416.517193094413,           ,                  ,                    ,                    ,                    ,           61878
                                                                     ,            ,                ,                     ,                   ,     317167,   159291161618.78,  1000.0            , 18370.590544171035 ,                    ,          317167
A D E PROPERTIES L.L.C                                               ,          97,     97739793.0 ,   17359.767891682786, 17216.548658916625,           ,                  ,                    ,                    ,                    ,              97
A M I S SIGNATURE DEVELOPMENT L.L.C                                  ,           2,      2560762.0 ,   20960.54004562631 , 20960.54004562631 ,           ,                  ,                    ,                    ,                    ,               2
AMBERTON RESIDENCES REAL ESTATE L.L.C                                ,          25,     77244520.0 ,   29515.606344874635, 29582.024782890232,           ,                  ,                    ,                    ,                    ,              25
ART HOUSE HILLS RESIDENCES DEVELOPMENT L.L.C                         ,           7,     10400983.92,   19503.543483223006, 19371.16912306485 ,           ,                  ,                    ,                    ,                    ,               7
ASAK REAL ESTATE DEVELOPMENT L.L.C                                   ,          67,     65924490.0 ,   15771.736688384633, 15197.45985269171 ,           ,                  ,                    ,                    ,                    ,              67
AURORA SPV 1 L.L.C                                                   ,           1,      2894400.0 ,   13612.378309739925, 13612.378309739925,           ,                  ,                    ,                    ,                    ,               1
AURORA SPV 3 L.L.C                                                   ,         210,    470782198.0 ,   17892.08421221877 , 17730.418941866974,           ,                  ,                    ,                    ,                    ,             210
AVENEW REAL ESTATE DEVELOPMENT L.L.C                                 ,          45,    152538480.0 ,   30268.565863160457, 31348.515632468676,           ,                  ,                    ,                    ,                    ,              45
AZIZI DEVELOPMENTS L.L.C                                             ,          11,     10358310.0 ,   21957.083764219235, 22143.978285945414,           ,                  ,                    ,                    ,                    ,              11
BAHAT REAL ESTATE DEVELOPMENT L.L.C                                  ,           6,      7532502.0 ,   12660.8829627861  , 12644.802508600967,           ,                  ,                    ,                    ,                    ,               6
BARARI THREE REAL ESTATE DEVELOPMENT L.L.C                           ,         100,    604792544.0 ,   31824.50647261065 , 31589.688469678335,           ,                  ,                    ,                    ,                    ,             100
BEYOND 1 REAL ESTATE DEVELOPMENT L.L.C                               ,          84,    429027660.0 ,   40598.144588710624, 41389.98380028186 ,           ,                  ,                    ,                    ,                    ,              84
BOUJEE REAL ESTATE DEVELOPMENT L.L.C                                 ,         179,    285444352.0 ,   18665.84120105247 , 18800.15969904926 ,           ,                  ,                    ,                    ,                    ,             179
BT PROPERTIES DWC LLC                                                ,         244,    152809000.0 ,   12607.296137339055, 12600.430585038665,           ,                  ,                    ,                    ,                    ,             244
Binghatti Developers FZE                                             ,        1213,   2994935586.0 ,   38467.72033217252 , 37496.75860584447 ,           ,                  ,                    ,                    ,                    ,            1213
CITYWALK RESIDENTIAL 1 L.L.C                                         ,         266,   1166113000.0 ,   36514.137430655144, 36157.778668121544,           ,                  ,                    ,                    ,                    ,             266
CLEAR VISION REAL ESTATE DEVELOPMENT L.L.C                           ,         171,    179142473.5 ,   13393.682588597843, 13549.780535573429,           ,                  ,                    ,                    ,                    ,             171
CRESTARC DEVELOPERS L.L.C                                            ,           1,    735041000.0 ,    6850.947176830886,  6850.947176830886,           ,                  ,                    ,                    ,                    ,               1
D H G PROPERTY DEVELOPMENT L.L.C                                     ,           5,      9658726.35,   19913.21497701428 , 20880.1490282159  ,           ,                  ,                    ,                    ,                    ,               5
DAMAC CRESCENT PROPERTIES                                            ,          93,    268891990.0 ,   19620.71480671043 , 20654.210474629617,         10,        2748863.2 ,  1456.9791457368244,  1495.8837571997751, 0.0742571899184084 ,             103
DANUBE PROPERTIES DEVELOPMENT L.L.C                                  ,         684,   1803453156.0 ,   42195.34872018746 , 41994.00814243508 ,           ,                  ,                    ,                    ,                    ,             684
DAR GLOBAL LUXURY PROPERTY DEVELOPMENT L.L.C S.O.C                   ,          13,     54923032.24,   40858.33949818935 , 42598.0114976583  ,           ,                  ,                    ,                    ,                    ,              13
DEYAAR DEVELOPMENT (P.J.S.C)                                         ,          52,     84345075.0 ,   14861.147688917777, 14930.06572607273 ,           ,                  ,                    ,                    ,                    ,              52
DHRE 2 BTS L.L.C                                                     ,         166,    634892000.0 ,   30858.07589177644 , 33405.69418634207 ,           ,                  ,                    ,                    ,                    ,             166
